name;categories;lat;lng;subcity;Unnamed: 0;City
MAGAZIN-Filmkunsttheater;Indie Movie Theater;53.59976217859377;10.003804646110007;Winterhude, Hamburg;;Hamburg
Planetarium Hamburg;Planetarium;53.597330214075996;10.008937918142657;Winterhude, Hamburg;;Hamburg
Bäckerei Rohlfs;Bakery;53.595007289591244;9.999854564666748;Winterhude, Hamburg;;Hamburg
das BISTRO;Bistro;53.59656499466485;9.997314718197499;Winterhude, Hamburg;;Hamburg
Café Galão;Portuguese Restaurant;53.59704120921114;9.997001359374755;Winterhude, Hamburg;;Hamburg
MEM Open Kitchen;Mediterranean Restaurant;53.59654761538901;9.997506502048608;Winterhude, Hamburg;;Hamburg
Kailua Poké;Hawaiian Restaurant;53.596603510694955;9.997669352066005;Winterhude, Hamburg;;Hamburg
Loft;Café;53.59599;10.002032;Winterhude, Hamburg;;Hamburg
Arizona Steak-House;Steakhouse;53.59334027074522;10.00055469526614;Winterhude, Hamburg;;Hamburg
dm-drogerie markt;Drugstore;53.59469220498072;10.00057309325416;Winterhude, Hamburg;;Hamburg
Café Quiddje;Café;53.5927193099345;10.002152938976757;Winterhude, Hamburg;;Hamburg
L'Osteria;Trattoria/Osteria;53.595036640141366;9.999236268105518;Winterhude, Hamburg;;Hamburg
Rossmann;Drugstore;53.59432923773619;10.000766831666338;Winterhude, Hamburg;;Hamburg
Die Lakritzerie;Candy Store;53.59409143418832;10.000159110291738;Winterhude, Hamburg;;Hamburg
Midsommerland;Water Park;53.447086337851935;9.980525344576092;Wilstorf, Hamburg;;Hamburg
REWE;Supermarket;53.44847867403902;9.987369125611169;Wilstorf, Hamburg;;Hamburg
Bootshaus;German Restaurant;53.44819540788501;9.98134224414438;Wilstorf, Hamburg;;Hamburg
Außenmühlenteich;Lake;53.4474266897611;9.977431297302246;Wilstorf, Hamburg;;Hamburg
Bahadur;Indian Restaurant;52.48779080041393;13.319594974738456;Wilmersdorf, Berlin;;Berlin
BIO COMPANY;Organic Grocery;52.48570423099271;13.322515569086509;Wilmersdorf, Berlin;;Berlin
Rossmann;Drugstore;52.486447272368075;13.32167665124368;Wilmersdorf, Berlin;;Berlin
EVA Lichtspiele;Indie Movie Theater;52.484641518113136;13.320160541709342;Wilmersdorf, Berlin;;Berlin
Yoshioka;Japanese Restaurant;52.48798972194057;13.317926134259867;Wilmersdorf, Berlin;;Berlin
Francesco Forgione;Italian Restaurant;52.48740268473961;13.322821855545044;Wilmersdorf, Berlin;;Berlin
A Telha;Seafood Restaurant;52.49052;13.325013;Wilmersdorf, Berlin;;Berlin
Garçon;French Restaurant;52.48934819776054;13.319556529543785;Wilmersdorf, Berlin;;Berlin
Vino y Mar;Tapas Restaurant;52.487628;13.321613000000001;Wilmersdorf, Berlin;;Berlin
Weichardt Brot;Bakery;52.485951801874144;13.32616546826688;Wilmersdorf, Berlin;;Berlin
Istanbul Grill;Doner Restaurant;52.486741701588656;13.320035683184551;Wilmersdorf, Berlin;;Berlin
Les 3 veuves de Wilmersdorf;French Restaurant;52.489290357815726;13.319579852846744;Wilmersdorf, Berlin;;Berlin
ANH BA;Vietnamese Restaurant;52.487191;13.326351;Wilmersdorf, Berlin;;Berlin
Back-Art 132;Bakery;52.486433610054995;13.321500226419456;Wilmersdorf, Berlin;;Berlin
Les Baguettes;Bakery;52.48666443001229;13.326319456100464;Wilmersdorf, Berlin;;Berlin
West Burger;Burger Joint;52.48686340440469;13.322549768532514;Wilmersdorf, Berlin;;Berlin
Bobsek Burger;Burger Joint;52.48679701227592;13.323886164039473;Wilmersdorf, Berlin;;Berlin
EDEKA;Supermarket;52.4867891;13.3255348;Wilmersdorf, Berlin;;Berlin
Tegernseer Tönnchen;Bavarian Restaurant;52.48643954192765;13.317532382938062;Wilmersdorf, Berlin;;Berlin
Monheim;Ice Cream Shop;52.48514046140478;13.320466553424966;Wilmersdorf, Berlin;;Berlin
